Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 11:47:29] (1.53s) | Epoch: 1 | Batch: 38 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19945.751953125
[07/16/24 11:47:29] (1.56s) | Epoch: 1 | Batch: 39 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19949.806640625
[07/16/24 11:47:29] (1.59s) | Epoch: 1 | Batch: 40 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19411.08203125
[07/16/24 11:47:29] (1.63s) | Epoch: 1 | Batch: 41 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21076.41796875
[07/16/24 11:47:29] (1.66s) | Epoch: 1 | Batch: 42 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20541.986328125
[07/16/24 11:47:29] (1.69s) | Epoch: 1 | Batch: 43 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19994.806640625
[07/16/24 11:47:29] (1.72s) | Epoch: 1 | Batch: 44 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20152.525390625
[07/16/24 11:47:29] (1.76s) | Epoch: 1 | Batch: 45 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20146.626953125
[07/16/24 11:47:29] (1.79s) | Epoch: 1 | Batch: 46 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19851.28125
[07/16/24 11:47:29] (1.82s) | Epoch: 1 | Batch: 47 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20156.517578125
[07/16/24 11:47:29] (1.85s) | Epoch: 1 | Batch: 48 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20090.46875
[07/16/24 11:47:29] (1.88s) | Epoch: 1 | Batch: 49 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19654.625
[07/16/24 11:47:29] (1.91s) | Epoch: 1 | Batch: 50 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20619.267578125
[07/16/24 11:47:29] (1.95s) | Epoch: 1 | Batch: 51 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19580.455078125
[07/16/24 11:47:29] (1.98s) | Epoch: 1 | Batch: 52 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20338.431640625
[07/16/24 11:47:29] (2.01s) | Epoch: 1 | Batch: 53 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19353.67578125
[07/16/24 11:47:29] (2.04s) | Epoch: 1 | Batch: 54 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19457.80859375
[07/16/24 11:47:29] (2.07s) | Epoch: 1 | Batch: 55 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19207.900390625
[07/16/24 11:47:29] (2.10s) | Epoch: 1 | Batch: 56 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19545.42578125
[07/16/24 11:47:29] (2.13s) | Epoch: 1 | Batch: 57 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19197.51171875
[07/16/24 11:47:29] (2.17s) | Epoch: 1 | Batch: 58 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18510.47265625
[07/16/24 11:47:29] (2.20s) | Epoch: 1 | Batch: 59 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19365.46484375
[07/16/24 11:47:29] (2.23s) | Epoch: 1 | Batch: 60 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19320.328125
[07/16/24 11:47:29] (2.26s) | Epoch: 1 | Batch: 61 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18496.333984375
[07/16/24 11:47:29] (2.30s) | Epoch: 1 | Batch: 62 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19998.419921875
[07/16/24 11:47:29] (2.33s) | Epoch: 1 | Batch: 63 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18452.4375
[07/16/24 11:47:29] (2.36s) | Epoch: 1 | Batch: 64 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18872.78515625
[07/16/24 11:47:29] (2.39s) | Epoch: 1 | Batch: 65 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19045.13671875
[07/16/24 11:47:29] (2.42s) | Epoch: 1 | Batch: 66 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19292.0390625
[07/16/24 11:47:30] (2.45s) | Epoch: 1 | Batch: 67 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18338.939453125
[07/16/24 11:47:30] (2.48s) | Epoch: 1 | Batch: 68 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19199.5078125
[07/16/24 11:47:30] (2.52s) | Epoch: 1 | Batch: 69 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18541.99609375
[07/16/24 11:47:30] (2.55s) | Epoch: 1 | Batch: 70 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18975.142578125
[07/16/24 11:47:30] (2.58s) | Epoch: 1 | Batch: 71 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19775.150390625
[07/16/24 11:47:30] (2.61s) | Epoch: 1 | Batch: 72 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18765.73046875
[07/16/24 11:47:30] (2.64s) | Epoch: 1 | Batch: 73 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18166.205078125
[07/16/24 11:47:30] (2.67s) | Epoch: 1 | Batch: 74 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18925.5234375
[07/16/24 11:47:30] (2.70s) | Epoch: 1 | Batch: 75 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18769.55859375
[07/16/24 11:47:30] (2.73s) | Epoch: 1 | Batch: 76 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19940.396484375
[07/16/24 11:47:30] (2.77s) | Epoch: 1 | Batch: 77 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19509.1328125
[07/16/24 11:47:30] (2.80s) | Epoch: 1 | Batch: 78 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17881.71484375
[07/16/24 11:47:30] (2.83s) | Epoch: 1 | Batch: 79 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18875.42578125
[07/16/24 11:47:30] (2.86s) | Epoch: 1 | Batch: 80 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18374.283203125
[07/16/24 11:47:30] (2.90s) | Epoch: 1 | Batch: 81 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18966.0625
[07/16/24 11:47:30] (2.93s) | Epoch: 1 | Batch: 82 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18536.294921875
[07/16/24 11:47:30] (2.96s) | Epoch: 1 | Batch: 83 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18673.546875
[07/16/24 11:47:30] (2.99s) | Epoch: 1 | Batch: 84 (0.018s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18795.443359375
[07/16/24 11:47:30] (3.02s) | Epoch: 1 | Batch: 85 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17957.912109375
[07/16/24 11:47:30] (3.05s) | Epoch: 1 | Batch: 86 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18353.103515625
[07/16/24 11:47:30] (3.08s) | Epoch: 1 | Batch: 87 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19179.056640625
[07/16/24 11:47:30] (3.12s) | Epoch: 1 | Batch: 88 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18435.96484375
[07/16/24 11:47:30] (3.15s) | Epoch: 1 | Batch: 89 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17561.591796875
[07/16/24 11:47:30] (3.18s) | Epoch: 1 | Batch: 90 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18238.810546875
[07/16/24 11:47:30] (3.21s) | Epoch: 1 | Batch: 91 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17779.9765625
