Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 16:41:46] (1.49s) | Epoch: 1 | Batch: 38 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20705.353515625
[07/16/24 16:41:46] (1.53s) | Epoch: 1 | Batch: 39 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20667.5546875
[07/16/24 16:41:46] (1.56s) | Epoch: 1 | Batch: 40 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21037.974609375
[07/16/24 16:41:46] (1.59s) | Epoch: 1 | Batch: 41 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20087.76171875
[07/16/24 16:41:46] (1.62s) | Epoch: 1 | Batch: 42 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20330.5
[07/16/24 16:41:46] (1.65s) | Epoch: 1 | Batch: 43 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19511.162109375
[07/16/24 16:41:47] (1.68s) | Epoch: 1 | Batch: 44 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20040.84765625
[07/16/24 16:41:47] (1.71s) | Epoch: 1 | Batch: 45 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20917.908203125
[07/16/24 16:41:47] (1.74s) | Epoch: 1 | Batch: 46 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19877.986328125
[07/16/24 16:41:47] (1.78s) | Epoch: 1 | Batch: 47 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20665.345703125
[07/16/24 16:41:47] (1.81s) | Epoch: 1 | Batch: 48 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19973.830078125
