Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
[07/16/24 12:24:53] (1.55s) | Epoch: 1 | Batch: 39 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20967.63671875
[07/16/24 12:24:53] (1.58s) | Epoch: 1 | Batch: 40 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 20158.181640625
[07/16/24 12:24:53] (1.61s) | Epoch: 1 | Batch: 41 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 21364.916015625
[07/16/24 12:24:53] (1.64s) | Epoch: 1 | Batch: 42 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20721.62890625
[07/16/24 12:24:53] (1.67s) | Epoch: 1 | Batch: 43 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20876.654296875
[07/16/24 12:24:53] (1.70s) | Epoch: 1 | Batch: 44 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 21314.171875
[07/16/24 12:24:53] (1.73s) | Epoch: 1 | Batch: 45 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 20191.240234375
[07/16/24 12:24:53] (1.77s) | Epoch: 1 | Batch: 46 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 20375.2890625
[07/16/24 12:24:53] (1.80s) | Epoch: 1 | Batch: 47 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19874.79296875
[07/16/24 12:24:53] (1.83s) | Epoch: 1 | Batch: 48 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 21101.1953125
[07/16/24 12:24:53] (1.86s) | Epoch: 1 | Batch: 49 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 20683.9140625
[07/16/24 12:24:53] (1.89s) | Epoch: 1 | Batch: 50 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20454.74609375
[07/16/24 12:24:53] (1.92s) | Epoch: 1 | Batch: 51 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19778.669921875
[07/16/24 12:24:53] (1.96s) | Epoch: 1 | Batch: 52 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 21444.10546875
[07/16/24 12:24:53] (1.99s) | Epoch: 1 | Batch: 53 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20218.0625
[07/16/24 12:24:53] (2.02s) | Epoch: 1 | Batch: 54 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 20321.728515625
[07/16/24 12:24:53] (2.05s) | Epoch: 1 | Batch: 55 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 20242.939453125
[07/16/24 12:24:53] (2.08s) | Epoch: 1 | Batch: 56 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19803.416015625
[07/16/24 12:24:53] (2.11s) | Epoch: 1 | Batch: 57 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 18635.775390625
[07/16/24 12:24:53] (2.14s) | Epoch: 1 | Batch: 58 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 21026.701171875
[07/16/24 12:24:53] (2.18s) | Epoch: 1 | Batch: 59 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19434.5546875
[07/16/24 12:24:53] (2.21s) | Epoch: 1 | Batch: 60 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20756.044921875
[07/16/24 12:24:53] (2.24s) | Epoch: 1 | Batch: 61 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18861.162109375
[07/16/24 12:24:53] (2.27s) | Epoch: 1 | Batch: 62 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18799.150390625
[07/16/24 12:24:54] (2.30s) | Epoch: 1 | Batch: 63 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19994.1328125
[07/16/24 12:24:54] (2.33s) | Epoch: 1 | Batch: 64 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 19334.62890625
[07/16/24 12:24:54] (2.36s) | Epoch: 1 | Batch: 65 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 20472.892578125
[07/16/24 12:24:54] (2.40s) | Epoch: 1 | Batch: 66 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 19899.017578125
[07/16/24 12:24:54] (2.43s) | Epoch: 1 | Batch: 67 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20286.69921875
[07/16/24 12:24:54] (2.46s) | Epoch: 1 | Batch: 68 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18686.69140625
[07/16/24 12:24:54] (2.49s) | Epoch: 1 | Batch: 69 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 19049.1171875
[07/16/24 12:24:54] (2.52s) | Epoch: 1 | Batch: 70 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19354.5859375
[07/16/24 12:24:54] (2.55s) | Epoch: 1 | Batch: 71 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20262.1953125
[07/16/24 12:24:54] (2.58s) | Epoch: 1 | Batch: 72 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19860.62109375
[07/16/24 12:24:54] (2.61s) | Epoch: 1 | Batch: 73 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 20737.7265625
[07/16/24 12:24:54] (2.65s) | Epoch: 1 | Batch: 74 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19688.140625
[07/16/24 12:24:54] (2.68s) | Epoch: 1 | Batch: 75 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19679.572265625
[07/16/24 12:24:54] (2.71s) | Epoch: 1 | Batch: 76 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 18946.548828125
[07/16/24 12:24:54] (2.74s) | Epoch: 1 | Batch: 77 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18644.869140625
[07/16/24 12:24:54] (2.77s) | Epoch: 1 | Batch: 78 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19230.970703125
[07/16/24 12:24:54] (2.80s) | Epoch: 1 | Batch: 79 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19099.96484375
[07/16/24 12:24:54] (2.83s) | Epoch: 1 | Batch: 80 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 18540.53515625
[07/16/24 12:24:54] (2.86s) | Epoch: 1 | Batch: 81 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19256.716796875
[07/16/24 12:24:54] (2.90s) | Epoch: 1 | Batch: 82 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18555.66796875
[07/16/24 12:24:54] (2.93s) | Epoch: 1 | Batch: 83 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19296.255859375
[07/16/24 12:24:54] (2.96s) | Epoch: 1 | Batch: 84 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 19159.55859375
[07/16/24 12:24:54] (2.99s) | Epoch: 1 | Batch: 85 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19450.189453125
[07/16/24 12:24:54] (3.02s) | Epoch: 1 | Batch: 86 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18627.34765625
[07/16/24 12:24:54] (3.06s) | Epoch: 1 | Batch: 87 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19150.58203125
[07/16/24 12:24:54] (3.09s) | Epoch: 1 | Batch: 88 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19523.296875
[07/16/24 12:24:54] (3.12s) | Epoch: 1 | Batch: 89 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19232.912109375
[07/16/24 12:24:54] (3.15s) | Epoch: 1 | Batch: 90 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18132.8046875
[07/16/24 12:24:54] (3.18s) | Epoch: 1 | Batch: 91 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18734.619140625
[07/16/24 12:24:54] (3.21s) | Epoch: 1 | Batch: 92 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19406.873046875
[07/16/24 12:24:54] (3.24s) | Epoch: 1 | Batch: 93 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19165.509765625
[07/16/24 12:24:54] (3.27s) | Epoch: 1 | Batch: 94 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18922.236328125
[07/16/24 12:24:55] (3.31s) | Epoch: 1 | Batch: 95 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 18525.9609375
