Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/15/24 17:18:09] (1.52s) | Epoch: 1 | Batch: 38 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19848.732421875
[07/15/24 17:18:09] (1.55s) | Epoch: 1 | Batch: 39 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19875.57421875
[07/15/24 17:18:09] (1.58s) | Epoch: 1 | Batch: 40 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19365.4765625
[07/15/24 17:18:09] (1.61s) | Epoch: 1 | Batch: 41 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20217.373046875
[07/15/24 17:18:09] (1.64s) | Epoch: 1 | Batch: 42 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19301.560546875
[07/15/24 17:18:09] (1.67s) | Epoch: 1 | Batch: 43 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19025.810546875
[07/15/24 17:18:09] (1.70s) | Epoch: 1 | Batch: 44 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19706.03125
[07/15/24 17:18:09] (1.73s) | Epoch: 1 | Batch: 45 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19962.76953125
[07/15/24 17:18:09] (1.77s) | Epoch: 1 | Batch: 46 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19811.724609375
[07/15/24 17:18:09] (1.80s) | Epoch: 1 | Batch: 47 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19672.044921875
[07/15/24 17:18:09] (1.83s) | Epoch: 1 | Batch: 48 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18938.201171875
[07/15/24 17:18:09] (1.86s) | Epoch: 1 | Batch: 49 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19770.798828125
[07/15/24 17:18:09] (1.90s) | Epoch: 1 | Batch: 50 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20100.607421875
[07/15/24 17:18:09] (1.93s) | Epoch: 1 | Batch: 51 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19786.619140625
[07/15/24 17:18:09] (1.96s) | Epoch: 1 | Batch: 52 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19850.0625
[07/15/24 17:18:09] (1.99s) | Epoch: 1 | Batch: 53 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19444.435546875
[07/15/24 17:18:09] (2.02s) | Epoch: 1 | Batch: 54 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18349.4921875
[07/15/24 17:18:09] (2.05s) | Epoch: 1 | Batch: 55 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19414.21875
[07/15/24 17:18:09] (2.08s) | Epoch: 1 | Batch: 56 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17588.73046875
[07/15/24 17:18:09] (2.12s) | Epoch: 1 | Batch: 57 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19607.048828125
[07/15/24 17:18:09] (2.15s) | Epoch: 1 | Batch: 58 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18736.552734375
[07/15/24 17:18:09] (2.18s) | Epoch: 1 | Batch: 59 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19787.546875
[07/15/24 17:18:09] (2.21s) | Epoch: 1 | Batch: 60 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19980.4140625
[07/15/24 17:18:09] (2.24s) | Epoch: 1 | Batch: 61 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18530.427734375
[07/15/24 17:18:09] (2.27s) | Epoch: 1 | Batch: 62 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18499.298828125
[07/15/24 17:18:09] (2.30s) | Epoch: 1 | Batch: 63 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18573.34375
[07/15/24 17:18:09] (2.33s) | Epoch: 1 | Batch: 64 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19422.779296875
[07/15/24 17:18:09] (2.37s) | Epoch: 1 | Batch: 65 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18399.64453125
[07/15/24 17:18:09] (2.40s) | Epoch: 1 | Batch: 66 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18962.263671875
[07/15/24 17:18:09] (2.43s) | Epoch: 1 | Batch: 67 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19384.990234375
[07/15/24 17:18:09] (2.46s) | Epoch: 1 | Batch: 68 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18098.451171875
[07/15/24 17:18:10] (2.49s) | Epoch: 1 | Batch: 69 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19420.427734375
[07/15/24 17:18:10] (2.53s) | Epoch: 1 | Batch: 70 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18350.990234375
[07/15/24 17:18:10] (2.56s) | Epoch: 1 | Batch: 71 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17754.138671875
[07/15/24 17:18:10] (2.59s) | Epoch: 1 | Batch: 72 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18978.296875
[07/15/24 17:18:10] (2.62s) | Epoch: 1 | Batch: 73 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18500.587890625
[07/15/24 17:18:10] (2.65s) | Epoch: 1 | Batch: 74 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18226.125
[07/15/24 17:18:10] (2.68s) | Epoch: 1 | Batch: 75 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18963.150390625
[07/15/24 17:18:10] (2.72s) | Epoch: 1 | Batch: 76 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17585.16015625
[07/15/24 17:18:10] (2.75s) | Epoch: 1 | Batch: 77 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18588.482421875
[07/15/24 17:18:10] (2.78s) | Epoch: 1 | Batch: 78 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18324.55078125
[07/15/24 17:18:10] (2.81s) | Epoch: 1 | Batch: 79 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19256.9921875
