Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/13/24 19:18:17] (1.50s) | Epoch: 1 | Batch: 38 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20897.9765625
[07/13/24 19:18:17] (1.53s) | Epoch: 1 | Batch: 39 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20024.8828125
[07/13/24 19:18:17] (1.56s) | Epoch: 1 | Batch: 40 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21767.001953125
[07/13/24 19:18:17] (1.60s) | Epoch: 1 | Batch: 41 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20336.60546875
[07/13/24 19:18:17] (1.63s) | Epoch: 1 | Batch: 42 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20803.419921875
[07/13/24 19:18:17] (1.66s) | Epoch: 1 | Batch: 43 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21006.33984375
[07/13/24 19:18:17] (1.69s) | Epoch: 1 | Batch: 44 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20919.66796875
[07/13/24 19:18:17] (1.72s) | Epoch: 1 | Batch: 45 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20851.82421875
[07/13/24 19:18:17] (1.75s) | Epoch: 1 | Batch: 46 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20070.57421875
[07/13/24 19:18:17] (1.78s) | Epoch: 1 | Batch: 47 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20686.1171875
[07/13/24 19:18:18] (1.81s) | Epoch: 1 | Batch: 48 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20947.078125
[07/13/24 19:18:18] (1.85s) | Epoch: 1 | Batch: 49 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21191.35546875
[07/13/24 19:18:18] (1.88s) | Epoch: 1 | Batch: 50 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20403.30859375
[07/13/24 19:18:18] (1.91s) | Epoch: 1 | Batch: 51 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20215.134765625
[07/13/24 19:18:18] (1.94s) | Epoch: 1 | Batch: 52 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19970.7265625
[07/13/24 19:18:18] (1.97s) | Epoch: 1 | Batch: 53 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19884.705078125
[07/13/24 19:18:18] (2.00s) | Epoch: 1 | Batch: 54 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19680.154296875
[07/13/24 19:18:18] (2.03s) | Epoch: 1 | Batch: 55 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20303.7890625
[07/13/24 19:18:18] (2.06s) | Epoch: 1 | Batch: 56 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20317.96484375
[07/13/24 19:18:18] (2.10s) | Epoch: 1 | Batch: 57 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19754.857421875
[07/13/24 19:18:18] (2.13s) | Epoch: 1 | Batch: 58 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19577.861328125
[07/13/24 19:18:18] (2.16s) | Epoch: 1 | Batch: 59 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20132.16015625
[07/13/24 19:18:18] (2.19s) | Epoch: 1 | Batch: 60 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19911.794921875
[07/13/24 19:18:18] (2.22s) | Epoch: 1 | Batch: 61 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19402.392578125
[07/13/24 19:18:18] (2.26s) | Epoch: 1 | Batch: 62 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20498.76171875
[07/13/24 19:18:18] (2.29s) | Epoch: 1 | Batch: 63 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19589.599609375
[07/13/24 19:18:18] (2.32s) | Epoch: 1 | Batch: 64 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19915.419921875
[07/13/24 19:18:18] (2.35s) | Epoch: 1 | Batch: 65 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18881.38671875
[07/13/24 19:18:18] (2.38s) | Epoch: 1 | Batch: 66 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19784.54296875
[07/13/24 19:18:18] (2.41s) | Epoch: 1 | Batch: 67 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19242.990234375
[07/13/24 19:18:18] (2.44s) | Epoch: 1 | Batch: 68 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19247.783203125
[07/13/24 19:18:18] (2.47s) | Epoch: 1 | Batch: 69 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18787.78515625
[07/13/24 19:18:18] (2.51s) | Epoch: 1 | Batch: 70 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19402.650390625
[07/13/24 19:18:18] (2.54s) | Epoch: 1 | Batch: 71 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18590.2578125
[07/13/24 19:18:18] (2.57s) | Epoch: 1 | Batch: 72 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20360.908203125
[07/13/24 19:18:18] (2.60s) | Epoch: 1 | Batch: 73 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18565.9921875
[07/13/24 19:18:18] (2.63s) | Epoch: 1 | Batch: 74 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19011.8359375
[07/13/24 19:18:18] (2.66s) | Epoch: 1 | Batch: 75 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19027.244140625
