Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/15/24 17:14:37] (2.00s) | Epoch: 1 | Batch: 38 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20379.357421875
[07/15/24 17:14:37] (2.04s) | Epoch: 1 | Batch: 39 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20555.744140625
[07/15/24 17:14:37] (2.07s) | Epoch: 1 | Batch: 40 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20272.287109375
[07/15/24 17:14:37] (2.10s) | Epoch: 1 | Batch: 41 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19827.072265625
[07/15/24 17:14:37] (2.13s) | Epoch: 1 | Batch: 42 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20551.4296875
[07/15/24 17:14:37] (2.16s) | Epoch: 1 | Batch: 43 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20522.1484375
[07/15/24 17:14:37] (2.19s) | Epoch: 1 | Batch: 44 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19652.2890625
[07/15/24 17:14:37] (2.22s) | Epoch: 1 | Batch: 45 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20176.447265625
[07/15/24 17:14:37] (2.25s) | Epoch: 1 | Batch: 46 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20711.68359375
[07/15/24 17:14:37] (2.29s) | Epoch: 1 | Batch: 47 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19270.498046875
[07/15/24 17:14:37] (2.32s) | Epoch: 1 | Batch: 48 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19388.4765625
[07/15/24 17:14:37] (2.35s) | Epoch: 1 | Batch: 49 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20182.91796875
[07/15/24 17:14:37] (2.38s) | Epoch: 1 | Batch: 50 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20333.923828125
[07/15/24 17:14:37] (2.41s) | Epoch: 1 | Batch: 51 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20710.73828125
[07/15/24 17:14:37] (2.44s) | Epoch: 1 | Batch: 52 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19652.990234375
[07/15/24 17:14:37] (2.48s) | Epoch: 1 | Batch: 53 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20673.66796875
[07/15/24 17:14:37] (2.51s) | Epoch: 1 | Batch: 54 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19098.681640625
[07/15/24 17:14:37] (2.54s) | Epoch: 1 | Batch: 55 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19714.9296875
[07/15/24 17:14:37] (2.57s) | Epoch: 1 | Batch: 56 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20117.458984375
[07/15/24 17:14:37] (2.60s) | Epoch: 1 | Batch: 57 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19030.33984375
[07/15/24 17:14:37] (2.64s) | Epoch: 1 | Batch: 58 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19846.5078125
[07/15/24 17:14:38] (2.67s) | Epoch: 1 | Batch: 59 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19185.244140625
[07/15/24 17:14:38] (2.70s) | Epoch: 1 | Batch: 60 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18852.64453125
[07/15/24 17:14:38] (2.73s) | Epoch: 1 | Batch: 61 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18135.470703125
[07/15/24 17:14:38] (2.76s) | Epoch: 1 | Batch: 62 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19076.8046875
[07/15/24 17:14:38] (2.79s) | Epoch: 1 | Batch: 63 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19448.251953125
[07/15/24 17:14:38] (2.82s) | Epoch: 1 | Batch: 64 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18200.134765625
[07/15/24 17:14:38] (2.86s) | Epoch: 1 | Batch: 65 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18359.572265625
[07/15/24 17:14:38] (2.89s) | Epoch: 1 | Batch: 66 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19795.18359375
[07/15/24 17:14:38] (2.92s) | Epoch: 1 | Batch: 67 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19630.025390625
[07/15/24 17:14:38] (2.95s) | Epoch: 1 | Batch: 68 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18412.41015625
[07/15/24 17:14:38] (2.98s) | Epoch: 1 | Batch: 69 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19757.880859375
[07/15/24 17:14:38] (3.01s) | Epoch: 1 | Batch: 70 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19452.42578125
[07/15/24 17:14:38] (3.04s) | Epoch: 1 | Batch: 71 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18590.283203125
[07/15/24 17:14:38] (3.07s) | Epoch: 1 | Batch: 72 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18515.267578125
[07/15/24 17:14:38] (3.11s) | Epoch: 1 | Batch: 73 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18700.146484375
[07/15/24 17:14:38] (3.14s) | Epoch: 1 | Batch: 74 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19300.587890625
[07/15/24 17:14:38] (3.17s) | Epoch: 1 | Batch: 75 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18808.291015625
[07/15/24 17:14:38] (3.20s) | Epoch: 1 | Batch: 76 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19443.677734375
[07/15/24 17:14:38] (3.23s) | Epoch: 1 | Batch: 77 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18677.009765625
[07/15/24 17:14:38] (3.26s) | Epoch: 1 | Batch: 78 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19185.697265625
[07/15/24 17:14:38] (3.29s) | Epoch: 1 | Batch: 79 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19340.546875
[07/15/24 17:14:38] (3.32s) | Epoch: 1 | Batch: 80 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18585.802734375
[07/15/24 17:14:38] (3.35s) | Epoch: 1 | Batch: 81 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18700.96875
[07/15/24 17:14:38] (3.39s) | Epoch: 1 | Batch: 82 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18813.76953125
