Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
[07/16/24 13:24:14] (1.55s) | Epoch: 1 | Batch: 39 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 22336.2734375
[07/16/24 13:24:14] (1.58s) | Epoch: 1 | Batch: 40 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19816.314453125
[07/16/24 13:24:14] (1.62s) | Epoch: 1 | Batch: 41 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 21091.55078125
[07/16/24 13:24:14] (1.65s) | Epoch: 1 | Batch: 42 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 21065.705078125
[07/16/24 13:24:14] (1.68s) | Epoch: 1 | Batch: 43 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 20380.431640625
[07/16/24 13:24:14] (1.71s) | Epoch: 1 | Batch: 44 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20590.3671875
[07/16/24 13:24:14] (1.74s) | Epoch: 1 | Batch: 45 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19831.248046875
[07/16/24 13:24:14] (1.78s) | Epoch: 1 | Batch: 46 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 21026.986328125
[07/16/24 13:24:14] (1.81s) | Epoch: 1 | Batch: 47 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 20493.42578125
[07/16/24 13:24:14] (1.84s) | Epoch: 1 | Batch: 48 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20349.91796875
[07/16/24 13:24:14] (1.87s) | Epoch: 1 | Batch: 49 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19596.3828125
[07/16/24 13:24:14] (1.90s) | Epoch: 1 | Batch: 50 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19923.04296875
[07/16/24 13:24:14] (1.93s) | Epoch: 1 | Batch: 51 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 21657.2890625
[07/16/24 13:24:14] (1.97s) | Epoch: 1 | Batch: 52 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 20273.279296875
[07/16/24 13:24:14] (2.00s) | Epoch: 1 | Batch: 53 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 20190.19140625
[07/16/24 13:24:14] (2.03s) | Epoch: 1 | Batch: 54 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19962.447265625
[07/16/24 13:24:14] (2.06s) | Epoch: 1 | Batch: 55 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19800.240234375
[07/16/24 13:24:14] (2.09s) | Epoch: 1 | Batch: 56 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19723.94140625
[07/16/24 13:24:14] (2.13s) | Epoch: 1 | Batch: 57 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 19701.90625
[07/16/24 13:24:14] (2.15s) | Epoch: 1 | Batch: 58 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 20699.033203125
[07/16/24 13:24:14] (2.19s) | Epoch: 1 | Batch: 59 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19787.31640625
