Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 13:40:41] (1.52s) | Epoch: 1 | Batch: 38 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19690.732421875
[07/16/24 13:40:41] (1.55s) | Epoch: 1 | Batch: 39 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19072.201171875
[07/16/24 13:40:41] (1.58s) | Epoch: 1 | Batch: 40 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20891.16796875
[07/16/24 13:40:41] (1.62s) | Epoch: 1 | Batch: 41 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18902.27734375
[07/16/24 13:40:41] (1.65s) | Epoch: 1 | Batch: 42 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19880.029296875
[07/16/24 13:40:41] (1.68s) | Epoch: 1 | Batch: 43 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19815.64453125
[07/16/24 13:40:41] (1.71s) | Epoch: 1 | Batch: 44 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19168.44921875
[07/16/24 13:40:41] (1.74s) | Epoch: 1 | Batch: 45 (0.018s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20739.51953125
[07/16/24 13:40:41] (1.77s) | Epoch: 1 | Batch: 46 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19896.42578125
[07/16/24 13:40:41] (1.80s) | Epoch: 1 | Batch: 47 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19569.7578125
[07/16/24 13:40:41] (1.84s) | Epoch: 1 | Batch: 48 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18685.685546875
[07/16/24 13:40:41] (1.87s) | Epoch: 1 | Batch: 49 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19967.16015625
[07/16/24 13:40:41] (1.90s) | Epoch: 1 | Batch: 50 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20325.728515625
[07/16/24 13:40:41] (1.93s) | Epoch: 1 | Batch: 51 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19981.529296875
[07/16/24 13:40:41] (1.96s) | Epoch: 1 | Batch: 52 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19796.484375
[07/16/24 13:40:41] (1.99s) | Epoch: 1 | Batch: 53 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18990.798828125
[07/16/24 13:40:41] (2.02s) | Epoch: 1 | Batch: 54 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20003.00390625
[07/16/24 13:40:41] (2.06s) | Epoch: 1 | Batch: 55 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18662.60546875
[07/16/24 13:40:41] (2.09s) | Epoch: 1 | Batch: 56 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18866.150390625
[07/16/24 13:40:41] (2.12s) | Epoch: 1 | Batch: 57 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20059.7265625
[07/16/24 13:40:41] (2.15s) | Epoch: 1 | Batch: 58 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19546.548828125
