Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 21:02:23] (1.52s) | Epoch: 1 | Batch: 38 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20879.095703125
[07/16/24 21:02:23] (1.55s) | Epoch: 1 | Batch: 39 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21095.07421875
[07/16/24 21:02:23] (1.58s) | Epoch: 1 | Batch: 40 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20794.55078125
[07/16/24 21:02:23] (1.61s) | Epoch: 1 | Batch: 41 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20780.548828125
[07/16/24 21:02:23] (1.65s) | Epoch: 1 | Batch: 42 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21002.642578125
[07/16/24 21:02:23] (1.68s) | Epoch: 1 | Batch: 43 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20962.13671875
[07/16/24 21:02:23] (1.71s) | Epoch: 1 | Batch: 44 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20873.443359375
[07/16/24 21:02:23] (1.74s) | Epoch: 1 | Batch: 45 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20532.205078125
[07/16/24 21:02:23] (1.77s) | Epoch: 1 | Batch: 46 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20795.65625
[07/16/24 21:02:23] (1.80s) | Epoch: 1 | Batch: 47 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20570.96875
[07/16/24 21:02:23] (1.83s) | Epoch: 1 | Batch: 48 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20626.630859375
[07/16/24 21:02:23] (1.87s) | Epoch: 1 | Batch: 49 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20323.509765625
[07/16/24 21:02:23] (1.90s) | Epoch: 1 | Batch: 50 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20586.431640625
[07/16/24 21:02:23] (1.93s) | Epoch: 1 | Batch: 51 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20643.38671875
[07/16/24 21:02:23] (1.96s) | Epoch: 1 | Batch: 52 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18884.2421875
[07/16/24 21:02:23] (1.99s) | Epoch: 1 | Batch: 53 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20316.59375
[07/16/24 21:02:23] (2.02s) | Epoch: 1 | Batch: 54 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18828.9453125
[07/16/24 21:02:23] (2.05s) | Epoch: 1 | Batch: 55 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20739.66015625
[07/16/24 21:02:23] (2.09s) | Epoch: 1 | Batch: 56 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20038.525390625
[07/16/24 21:02:23] (2.12s) | Epoch: 1 | Batch: 57 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20489.142578125
[07/16/24 21:02:23] (2.15s) | Epoch: 1 | Batch: 58 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20765.97265625
[07/16/24 21:02:23] (2.18s) | Epoch: 1 | Batch: 59 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20841.630859375
[07/16/24 21:02:23] (2.21s) | Epoch: 1 | Batch: 60 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20298.466796875
[07/16/24 21:02:23] (2.24s) | Epoch: 1 | Batch: 61 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19700.15234375
[07/16/24 21:02:23] (2.27s) | Epoch: 1 | Batch: 62 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19512.833984375
[07/16/24 21:02:23] (2.30s) | Epoch: 1 | Batch: 63 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19907.85546875
[07/16/24 21:02:23] (2.34s) | Epoch: 1 | Batch: 64 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19611.666015625
[07/16/24 21:02:23] (2.37s) | Epoch: 1 | Batch: 65 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20245.021484375
[07/16/24 21:02:23] (2.40s) | Epoch: 1 | Batch: 66 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20110.52734375
[07/16/24 21:02:23] (2.43s) | Epoch: 1 | Batch: 67 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20048.0078125
[07/16/24 21:02:24] (2.46s) | Epoch: 1 | Batch: 68 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19171.6484375
